"job_id","job_title","company_name","salary_year_avg","skills"
209315,"Data base administrator","ЛАНИТ","400000.0","oracle"
209315,"Data base administrator","ЛАНИТ","400000.0","kafka"
209315,"Data base administrator","ЛАНИТ","400000.0","linux"
209315,"Data base administrator","ЛАНИТ","400000.0","git"
209315,"Data base administrator","ЛАНИТ","400000.0","svn"
641501,"Head of Infrastructure Management & Data Analytics - Financial...","Citigroup, Inc","375000.0","excel"
641501,"Head of Infrastructure Management & Data Analytics - Financial...","Citigroup, Inc","375000.0","word"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","python"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","r"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","vba"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","excel"
1110602,"HC Data Analyst , Senior","Illuminate Mission Solutions","375000.0","tableau"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","sql"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","python"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","r"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","sas"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","matlab"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","spark"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","airflow"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","excel"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","tableau"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","power bi"
229253,"Director of Safety Data Analysis","Torc Robotics","375000.0","sas"
1059665,"Data Analyst","Anthropic","350000.0","sql"
1059665,"Data Analyst","Anthropic","350000.0","python"
101757,"Head of Data Analytics","Care.com","350000.0","sql"
101757,"Head of Data Analytics","Care.com","350000.0","python"
101757,"Head of Data Analytics","Care.com","350000.0","r"
101757,"Head of Data Analytics","Care.com","350000.0","bigquery"
101757,"Head of Data Analytics","Care.com","350000.0","snowflake"
101757,"Head of Data Analytics","Care.com","350000.0","tableau"
101757,"Head of Data Analytics","Care.com","350000.0","power bi"
101757,"Head of Data Analytics","Care.com","350000.0","looker"
894135,"Research Scientist","OpenAI","285000.0","github"
